strain	skewi
B_lablabiGAS522.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5102249991
B_lablabiGAS522.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6379120769
B_lablabiGAS522.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.6105899582
B_lablabiMT34.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4904882750
B_lablabiMT34.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.6260614387
B_lablabiMT34.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6184918301
B_lablabiMT34.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5086871211
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6216248495
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4970774736
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6199710238
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4818313126
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.5977984412
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4848809579
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.6218351137
B_lablabiMT34.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5088758574
B_lablabiMT34.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6685588336
B_lablabiMT34.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.6449765114
B_oligotrophicum_S58.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.5499368184
B_oligotrophicum_S58.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4376325213
B_oligotrophicum_S58.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.5704463710
B_oligotrophicum_S58.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.5963621027
B_oligotrophicum_S58.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.4945711686
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6117007929
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4799160619
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6101283267
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4791526573
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.6057066311
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4766933054
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.5831371320
B_oligotrophicum_S58.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5003051530
B_oligotrophicum_S58.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6015736795
B_oligotrophicum_S58.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5829563123
B_ottawaenseGAS524.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4880767283
B_ottawaenseGAS524.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.6262931469
B_ottawaenseGAS524.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6079105401
B_ottawaenseGAS524.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5135417559
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6110572609
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.4825282826
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6235752361
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4850029614
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.6072835858
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.4966712184
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.5947736158
B_ottawaenseGAS524.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.4950970062
B_ottawaenseGAS524.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6240500827
B_ottawaenseGAS524.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.5998263272
B_sp._AT1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4456523942
B_sp._AT1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3022376610
B_sp._AT1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3944790783
B_sp._AT1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2883195710
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4068426628
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2680375190
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4183858223
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2781314842
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4024948968
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2619789269
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.3816631217
B_sp._AT1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2949762297
B_sp._AT1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3976849637
B_sp._AT1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3721923378
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4317838133
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4105635242
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4123134797
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4105848008
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4129574312
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4207121366
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4040503991
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4275486711
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.3937455650
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4099302272
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4273126005
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4076933562
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4139055250
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.3893625198
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4128089202
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4283530235
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4248858439
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4157399891
B_sp._AT1.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4187691862
B_sp._BF49.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3886747422
B_sp._BF49.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4321481886
B_sp._BF49.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.2999061199
B_sp._BF49.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4626480218
B_sp._BF49.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3581015857
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4529586364
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3194550383
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4629665261
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3185114975
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4472192335
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3297797000
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4461500489
B_sp._BF49.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3478051456
B_sp._BF49.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4569888446
B_sp._BF49.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4239840948
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4385776273
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4352171000
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4318140158
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4226850304
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4340246726
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4548152914
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4072154350
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4365653922
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4249886012
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4432694592
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4350570872
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4097363044
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4284339667
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4237723351
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4013898368
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4326902908
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4110974981
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4286847151
B_sp._BF49.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4401708930
B_sp._BTAi1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.5486424311
B_sp._BTAi1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.6792715814
B_sp._BTAi1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6372629556
B_sp._BTAi1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5332651816
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6402174499
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.5150291321
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6417442171
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.4998619923
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.6373769196
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.5072776856
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.6493652786
B_sp._BTAi1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5565988102
B_sp._BTAi1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6864737218
B_sp._BTAi1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.6632034261
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3405994550
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3829178465
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3088452139
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3875919907
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2763032013
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4096320604
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2650560391
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4268783244
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2719932687
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4151048714
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2763160086
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4097607304
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2897684916
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3675327782
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3458334260
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.3871071137
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.3996215901
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.3969884641
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4017438620
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.3983528996
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.3837944017
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4041348483
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.3862519470
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.3944975737
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4129377236
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4126048290
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.3757240435
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.3760757361
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.3694559316
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4003941339
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4005619093
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.3668275757
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.3919626696
B_sp._CCGE-LA001.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4107128904
B_sp._DOA1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3437412928
B_sp._DOA1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4070689734
B_sp._DOA1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.2771011687
B_sp._DOA1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3995899208
B_sp._DOA1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2872052556
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.3974820687
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2612732601
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4291642831
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2643848735
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.3917984027
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2611989351
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.3912991518
B_sp._DOA1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2803895196
B_sp._DOA1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3569444130
B_sp._DOA1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3305040862
B_sp._DOA9.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3184172675
B_sp._DOA9.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3845154508
B_sp._DOA9.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.2874532982
B_sp._DOA9.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.3955158642
B_sp._DOA9.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.2725509962
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4034661386
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.2626929065
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.3781682826
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2259025055
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.3914143451
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.2488544878
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.3833127150
B_sp._DOA9.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.2795779208
B_sp._DOA9.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.3653740887
B_sp._DOA9.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3385083469
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.3567443739
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.3621097419
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.3801312124
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.3516997743
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.3658816724
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.3665677645
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.3672080038
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.3554009028
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.3563058314
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.3710896272
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4053035385
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4042999604
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.3778297904
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.3585716878
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.3747555366
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.3855917145
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.3634972015
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.3589163342
B_sp._DOA9.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.3634703122
B_sp._ORS278.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3413616582
B_sp._ORS278.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4869774705
B_sp._ORS278.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4859939579
B_sp._ORS278.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3669254382
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4904689353
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3530894301
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4907576568
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3519091490
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4616991199
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3225897747
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4789680869
B_sp._ORS278.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3843870470
B_sp._ORS278.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4764627406
B_sp._ORS278.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4520616838
B_sp._ORS285.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3807897534
B_sp._ORS285.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.5161306898
B_sp._ORS285.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.5121883322
B_sp._ORS285.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3955167304
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4908150447
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3623233703
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.5071915390
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3576792939
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4965852563
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3652378799
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4879237702
B_sp._ORS285.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3889416211
B_sp._ORS285.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4860306785
B_sp._ORS285.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4663433599
B_sp._S23321.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4229040836
B_sp._S23321.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4795507186
B_sp._S23321.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3201093032
B_sp._S23321.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4696589689
B_sp._S23321.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3435005756
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4620090457
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3331915102
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4797235021
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3259659694
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4609307004
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3401520677
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4599764402
B_sp._S23321.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3477870646
B_sp._S23321.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4562404570
B_sp._S23321.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4350814793
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.5038987274
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4844644877
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.5064756999
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4986559724
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4819863488
B_sp._S23321.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4886701516
